played_at,time_ms,finesse_percent,total_pieces,pieces_per_second
"2022-08-20 09:48:46.242+00:00",45000,87.38,103,2.29
"2022-08-20 09:47:24.62+00:00",52507,82.3,113,2.15
"2022-08-20 09:46:28.474+00:00",56740,89.34,122,2.15
"2022-08-20 09:45:18.44+00:00",64490,83.06,124,1.92
"2022-08-20 09:43:54.731+00:00",59228,91.2,125,2.11
"2022-08-20 09:42:38.958+00:00",51580,83.81,105,2.04
"2022-08-20 03:33:35.606+00:00",51823,92.31,104,2.01
"2022-08-20 03:32:37.815+00:00",62142,75.89,112,1.8
"2022-08-20 03:31:16.931+00:00",56848,86.61,112,1.97
"2022-08-20 03:27:47.759+00:00",57917,86.11,108,1.86
"2022-08-20 03:26:33.032+00:00",54862,85.05,107,1.95
"2022-08-20 03:25:25.161+00:00",64563,86.67,120,1.86
"2022-08-20 03:22:33.451+00:00",49088,90.83,109,2.22
"2022-08-20 03:19:55.808+00:00",55413,90.68,118,2.13
"2022-08-20 03:18:57.101+00:00",49763,84.62,104,2.09
"2022-08-20 03:17:43.344+00:00",49560,89.81,108,2.18
"2022-08-20 03:14:03.397+00:00",49820,88.18,110,2.21
"2022-08-20 03:10:24.25+00:00",57260,84.76,105,1.83
"2022-08-20 03:09:18.474+00:00",52368,90.29,103,1.97
"2022-08-20 03:08:08.309+00:00",55057,89.72,107,1.94
"2022-08-19 19:12:24.727+00:00",52603,78.85,104,1.98
"2022-08-19 19:06:01.147+00:00",45313,86.41,103,2.27
"2022-08-19 19:03:15.83+00:00",52852,84.11,107,2.02
"2022-08-19 19:01:52.712+00:00",46403,85.58,104,2.24
"2022-08-19 19:00:56.226+00:00",48197,91.67,108,2.24
"2022-08-19 18:59:11.732+00:00",54925,85.71,112,2.04
"2022-08-19 18:57:45.205+00:00",59740,85.83,120,2.01
"2022-08-19 18:56:17.122+00:00",53963,86.41,103,1.91
"2022-08-19 12:01:21.469+00:00",49095,89.52,105,2.14
"2022-08-19 12:00:29.116+00:00",56360,88.03,117,2.08
"2022-08-19 11:58:32.812+00:00",49142,87.38,103,2.1
"2022-08-19 11:57:30.779+00:00",53892,85.84,113,2.1
"2022-08-19 11:54:09.721+00:00",56570,85.98,107,1.89
"2022-08-19 11:52:39.394+00:00",51975,87.96,108,2.08
"2022-08-19 11:51:32.658+00:00",49728,81.9,105,2.11
"2022-08-19 11:49:13.221+00:00",58805,86.61,112,1.9
"2022-08-19 11:47:57.374+00:00",51158,80.77,104,2.03
"2022-08-19 11:44:45.813+00:00",59338,84.48,116,1.95
"2022-08-19 11:42:35.417+00:00",51315,84.96,113,2.2
"2022-08-19 11:40:42.958+00:00",53060,84.96,113,2.13
"2022-08-19 05:26:31.095+00:00",52273,89.62,106,2.03
"2022-08-19 05:25:04.609+00:00",62258,85.84,113,1.82
"2022-08-19 05:23:39.31+00:00",51677,90.29,103,1.99
"2022-08-18 17:51:48.931+00:00",51850,89.52,105,2.03
"2022-08-18 17:50:01.065+00:00",60742,84.85,132,2.17
"2022-08-18 17:48:53.638+00:00",59993,86.21,116,1.93
"2022-08-18 17:47:38.922+00:00",54298,85.98,107,1.97
"2022-08-18 17:46:38.985+00:00",56513,90.52,116,2.05
"2022-08-18 17:09:17.804+00:00",68002,84.38,128,1.88
"2022-08-18 17:08:05.886+00:00",55347,87.93,116,2.1
"2022-08-18 17:07:06.953+00:00",64527,89.17,120,1.86
"2022-08-18 17:05:36.73+00:00",50445,87.16,109,2.16
"2022-08-18 15:37:19.744+00:00",46827,90.2,102,2.18
"2022-08-18 15:36:29.409+00:00",45233,89.62,106,2.34
"2022-08-18 15:35:09.838+00:00",54655,87.16,109,1.99
"2022-08-18 15:33:10.322+00:00",49595,85.05,107,2.16
"2022-08-18 15:30:58.406+00:00",52065,88.18,110,2.11
"2022-08-18 15:28:04.065+00:00",55022,83.33,114,2.07
"2022-08-18 15:26:39.882+00:00",53080,89.29,112,2.11
"2022-08-18 15:25:28.415+00:00",55978,81.82,110,1.97
"2022-08-18 15:23:16.496+00:00",52567,90.74,108,2.05
"2022-08-18 15:21:31.018+00:00",44042,89.32,103,2.34
"2022-08-18 15:20:32.041+00:00",50227,86.36,110,2.19
"2022-08-18 15:18:20.054+00:00",52922,88.7,115,2.17
"2022-08-18 15:17:12.902+00:00",48695,90.29,103,2.12
"2022-08-18 15:16:17.28+00:00",51882,85.83,120,2.31
"2022-08-18 15:12:20.249+00:00",45502,90.57,106,2.33
"2022-08-18 15:10:14.696+00:00",48782,86.49,111,2.28
"2022-08-18 15:09:22.856+00:00",55113,85.45,110,2.0
"2022-08-18 14:14:38.861+00:00",47838,87.04,108,2.26
"2022-08-18 14:13:44.909+00:00",56030,81.9,105,1.87
"2022-08-18 14:11:14.15+00:00",56373,84.3,121,2.15
"2022-08-18 14:09:58.146+00:00",51455,84.96,113,2.2
"2022-08-18 14:09:01.933+00:00",48418,88.99,109,2.25
"2022-08-18 11:37:57.432+00:00",60280,85.12,121,2.01
"2022-08-18 11:35:21.225+00:00",57390,81.67,120,2.09
"2022-08-18 11:34:13.531+00:00",47507,83.33,102,2.15
"2022-08-18 11:33:22.231+00:00",45767,85.71,105,2.29
"2022-08-18 11:32:32.951+00:00",45490,89.32,103,2.26
"2022-08-18 11:31:38.121+00:00",51647,81.82,110,2.13
"2022-08-18 11:30:43.458+00:00",52752,86.11,108,2.05
"2022-08-18 11:19:30.126+00:00",47960,86.92,107,2.23
"2022-08-18 11:17:51.702+00:00",55980,89.91,109,1.95
"2022-08-18 11:16:52.384+00:00",49770,86.11,108,2.17
